epsilon,m,N,log2_inv_eps,fixed_total_bits,fixed_per_elem,adaptive_total_bits,adaptive_per_elem,gap_bits,gap_per_elem,lower_bound
0.1,26,100,3.3219,100.37,3.8604,14.00,0.5385,86.37,3.3219,3.3219
0.1,27,100,3.3219,103.69,3.8404,14.00,0.5185,89.69,3.3219,3.3219
0.1,28,100,3.3219,107.01,3.8219,14.00,0.5000,93.01,3.3219,3.3219
0.1,29,100,3.3219,110.34,3.8047,14.00,0.4828,96.34,3.3219,3.3219
0.1,30,100,3.3219,113.66,3.7886,14.00,0.4667,99.66,3.3219,3.3219
0.1,31,100,3.3219,116.98,3.7735,14.00,0.4516,102.98,3.3219,3.3219
0.1,32,100,3.3219,120.30,3.7594,14.00,0.4375,106.30,3.3219,3.3219
0.1,33,100,3.3219,123.62,3.7462,14.00,0.4242,109.62,3.3219,3.3219
0.1,34,100,3.3219,126.95,3.7337,14.00,0.4118,112.95,3.3219,3.3219
0.1,35,100,3.3219,130.27,3.7219,14.00,0.4000,116.27,3.3219,3.3219
0.1,36,100,3.3219,133.59,3.7108,14.00,0.3889,119.59,3.3219,3.3219
0.1,37,100,3.3219,136.91,3.7003,14.00,0.3784,122.91,3.3219,3.3219
0.1,38,100,3.3219,140.23,3.6903,14.00,0.3684,126.23,3.3219,3.3219
0.1,39,100,3.3219,143.56,3.6809,14.00,0.3590,129.56,3.3219,3.3219
0.1,40,100,3.3219,146.88,3.6719,14.00,0.3500,132.88,3.3219,3.3219
0.1,41,100,3.3219,150.20,3.6634,14.00,0.3415,136.20,3.3219,3.3219
0.1,42,100,3.3219,153.52,3.6553,14.00,0.3333,139.52,3.3219,3.3219
0.1,43,100,3.3219,156.84,3.6475,14.00,0.3256,142.84,3.3219,3.3219
0.1,44,100,3.3219,160.16,3.6401,14.00,0.3182,146.16,3.3219,3.3219
0.1,45,100,3.3219,163.49,3.6330,14.00,0.3111,149.49,3.3219,3.3219
0.1,46,100,3.3219,166.81,3.6263,14.00,0.3043,152.81,3.3219,3.3219
0.1,47,100,3.3219,170.13,3.6198,14.00,0.2979,156.13,3.3219,3.3219
0.1,48,100,3.3219,173.45,3.6136,14.00,0.2917,159.45,3.3219,3.3219
0.1,49,100,3.3219,176.77,3.6076,14.00,0.2857,162.77,3.3219,3.3219
0.1,50,100,3.3219,180.10,3.6019,14.00,0.2800,166.10,3.3219,3.3219
0.1,51,100,3.3219,183.42,3.5964,14.00,0.2745,169.42,3.3219,3.3219
0.1,52,100,3.3219,186.74,3.5912,14.00,0.2692,172.74,3.3219,3.3219
0.1,53,100,3.3219,190.06,3.5861,14.00,0.2642,176.06,3.3219,3.3219
0.1,54,100,3.3219,193.38,3.5812,14.00,0.2593,179.38,3.3219,3.3219
0.1,55,100,3.3219,196.71,3.5765,14.00,0.2545,182.71,3.3219,3.3219
0.1,56,100,3.3219,200.03,3.5719,14.00,0.2500,186.03,3.3219,3.3219
0.1,57,100,3.3219,203.35,3.5675,14.00,0.2456,189.35,3.3219,3.3219
0.1,58,100,3.3219,206.67,3.5633,14.00,0.2414,192.67,3.3219,3.3219
0.1,59,100,3.3219,209.99,3.5592,14.00,0.2373,195.99,3.3219,3.3219
0.1,60,100,3.3219,213.32,3.5553,14.00,0.2333,199.32,3.3219,3.3219
0.1,61,100,3.3219,216.64,3.5514,14.00,0.2295,202.64,3.3219,3.3219
0.1,62,100,3.3219,219.96,3.5477,14.00,0.2258,205.96,3.3219,3.3219
0.1,63,100,3.3219,223.28,3.5442,14.00,0.2222,209.28,3.3219,3.3219
0.1,64,100,3.3219,226.60,3.5407,14.00,0.2188,212.60,3.3219,3.3219
0.1,65,100,3.3219,229.93,3.5373,14.00,0.2154,215.93,3.3219,3.3219
0.1,66,100,3.3219,233.25,3.5340,14.00,0.2121,219.25,3.3219,3.3219
0.1,67,100,3.3219,236.57,3.5309,14.00,0.2090,222.57,3.3219,3.3219
0.1,68,100,3.3219,239.89,3.5278,14.00,0.2059,225.89,3.3219,3.3219
0.1,69,100,3.3219,243.21,3.5248,14.00,0.2029,229.21,3.3219,3.3219
0.1,70,100,3.3219,246.53,3.5219,14.00,0.2000,232.53,3.3219,3.3219
0.1,71,100,3.3219,249.86,3.5191,14.00,0.1972,235.86,3.3219,3.3219
0.1,72,100,3.3219,253.18,3.5164,14.00,0.1944,239.18,3.3219,3.3219
0.1,73,100,3.3219,256.50,3.5137,14.00,0.1918,242.50,3.3219,3.3219
0.1,74,100,3.3219,259.82,3.5111,14.00,0.1892,245.82,3.3219,3.3219
0.1,75,100,3.3219,263.14,3.5086,14.00,0.1867,249.14,3.3219,3.3219
0.1,76,100,3.3219,266.47,3.5061,14.00,0.1842,252.47,3.3219,3.3219
0.1,77,100,3.3219,269.79,3.5037,14.00,0.1818,255.79,3.3219,3.3219
0.1,78,100,3.3219,273.11,3.5014,14.00,0.1795,259.11,3.3219,3.3219
0.1,79,100,3.3219,276.43,3.4991,14.00,0.1772,262.43,3.3219,3.3219
0.1,80,100,3.3219,279.75,3.4969,14.00,0.1750,265.75,3.3219,3.3219
0.1,81,100,3.3219,283.08,3.4948,14.00,0.1728,269.08,3.3219,3.3219
0.1,82,100,3.3219,286.40,3.4927,14.00,0.1707,272.40,3.3219,3.3219
0.1,83,100,3.3219,289.72,3.4906,14.00,0.1687,275.72,3.3219,3.3219
0.1,84,100,3.3219,293.04,3.4886,14.00,0.1667,279.04,3.3219,3.3219
0.1,85,100,3.3219,296.36,3.4866,14.00,0.1647,282.36,3.3219,3.3219
0.1,86,100,3.3219,299.69,3.4847,14.00,0.1628,285.69,3.3219,3.3219
0.1,87,100,3.3219,303.01,3.4828,14.00,0.1609,289.01,3.3219,3.3219
0.1,88,100,3.3219,306.33,3.4810,14.00,0.1591,292.33,3.3219,3.3219
0.1,89,100,3.3219,309.65,3.4792,14.00,0.1573,295.65,3.3219,3.3219
0.1,90,100,3.3219,312.97,3.4775,14.00,0.1556,298.97,3.3219,3.3219
0.1,91,100,3.3219,316.30,3.4758,14.00,0.1538,302.30,3.3219,3.3219
0.1,92,100,3.3219,319.62,3.4741,14.00,0.1522,305.62,3.3219,3.3219
0.1,93,100,3.3219,322.94,3.4725,14.00,0.1505,308.94,3.3219,3.3219
0.1,94,100,3.3219,326.26,3.4709,14.00,0.1489,312.26,3.3219,3.3219
0.1,95,100,3.3219,329.58,3.4693,14.00,0.1474,315.58,3.3219,3.3219
0.1,96,100,3.3219,332.91,3.4678,14.00,0.1458,318.91,3.3219,3.3219
0.1,97,100,3.3219,336.23,3.4663,14.00,0.1443,322.23,3.3219,3.3219
0.1,98,100,3.3219,339.55,3.4648,14.00,0.1429,325.55,3.3219,3.3219
0.1,99,100,3.3219,342.87,3.4633,14.00,0.1414,328.87,3.3219,3.3219
0.1,100,100,3.3219,346.19,3.4619,14.00,0.1400,332.19,3.3219,3.3219
0.1,101,100,3.3219,349.51,3.4605,14.00,0.1386,335.51,3.3219,3.3219
0.1,102,100,3.3219,352.84,3.4592,14.00,0.1373,338.84,3.3219,3.3219
0.1,103,100,3.3219,356.16,3.4579,14.00,0.1359,342.16,3.3219,3.3219
0.1,104,100,3.3219,359.48,3.4565,14.00,0.1346,345.48,3.3219,3.3219
0.1,105,100,3.3219,362.80,3.4553,14.00,0.1333,348.80,3.3219,3.3219
0.1,106,100,3.3219,366.12,3.4540,14.00,0.1321,352.12,3.3219,3.3219
0.1,107,100,3.3219,369.45,3.4528,14.00,0.1308,355.45,3.3219,3.3219
0.1,108,100,3.3219,372.77,3.4516,14.00,0.1296,358.77,3.3219,3.3219
0.1,109,100,3.3219,376.09,3.4504,14.00,0.1284,362.09,3.3219,3.3219
0.1,110,100,3.3219,379.41,3.4492,14.00,0.1273,365.41,3.3219,3.3219
0.1,111,100,3.3219,382.73,3.4481,14.00,0.1261,368.73,3.3219,3.3219
0.1,112,100,3.3219,386.06,3.4469,14.00,0.1250,372.06,3.3219,3.3219
0.1,113,100,3.3219,389.38,3.4458,14.00,0.1239,375.38,3.3219,3.3219
0.1,114,100,3.3219,392.70,3.4447,14.00,0.1228,378.70,3.3219,3.3219
0.1,115,100,3.3219,396.02,3.4437,14.00,0.1217,382.02,3.3219,3.3219
0.1,116,100,3.3219,399.34,3.4426,14.00,0.1207,385.34,3.3219,3.3219
0.1,117,100,3.3219,402.67,3.4416,14.00,0.1197,388.67,3.3219,3.3219
0.1,118,100,3.3219,405.99,3.4406,14.00,0.1186,391.99,3.3219,3.3219
0.1,119,100,3.3219,409.31,3.4396,14.00,0.1176,395.31,3.3219,3.3219
0.1,120,100,3.3219,412.63,3.4386,14.00,0.1167,398.63,3.3219,3.3219
0.1,121,100,3.3219,415.95,3.4376,14.00,0.1157,401.95,3.3219,3.3219
0.1,122,100,3.3219,419.28,3.4367,14.00,0.1148,405.28,3.3219,3.3219
0.1,123,100,3.3219,422.60,3.4357,14.00,0.1138,408.60,3.3219,3.3219
0.1,124,100,3.3219,425.92,3.4348,14.00,0.1129,411.92,3.3219,3.3219
0.1,125,100,3.3219,429.24,3.4339,14.00,0.1120,415.24,3.3219,3.3219
0.1,126,100,3.3219,432.56,3.4330,14.00,0.1111,418.56,3.3219,3.3219
0.1,127,100,3.3219,435.88,3.4322,14.00,0.1102,421.88,3.3219,3.3219
0.1,128,100,3.3219,439.21,3.4313,14.00,0.1094,425.21,3.3219,3.3219
0.1,129,100,3.3219,442.53,3.4305,14.00,0.1085,428.53,3.3219,3.3219
0.1,130,100,3.3219,445.85,3.4296,14.00,0.1077,431.85,3.3219,3.3219
0.1,131,100,3.3219,449.17,3.4288,14.00,0.1069,435.17,3.3219,3.3219
0.1,132,100,3.3219,452.49,3.4280,14.00,0.1061,438.49,3.3219,3.3219
0.1,133,100,3.3219,455.82,3.4272,14.00,0.1053,441.82,3.3219,3.3219
0.1,134,100,3.3219,459.14,3.4264,14.00,0.1045,445.14,3.3219,3.3219
0.1,135,100,3.3219,462.46,3.4256,14.00,0.1037,448.46,3.3219,3.3219
0.1,136,100,3.3219,465.78,3.4249,14.00,0.1029,451.78,3.3219,3.3219
0.1,137,100,3.3219,469.10,3.4241,14.00,0.1022,455.10,3.3219,3.3219
0.1,138,100,3.3219,472.43,3.4234,14.00,0.1014,458.43,3.3219,3.3219
0.1,139,100,3.3219,475.75,3.4226,14.00,0.1007,461.75,3.3219,3.3219
0.1,140,100,3.3219,479.07,3.4219,14.00,0.1000,465.07,3.3219,3.3219
0.1,141,100,3.3219,482.39,3.4212,14.00,0.0993,468.39,3.3219,3.3219
0.1,142,100,3.3219,485.71,3.4205,14.00,0.0986,471.71,3.3219,3.3219
0.1,143,100,3.3219,489.04,3.4198,14.00,0.0979,475.04,3.3219,3.3219
0.1,144,100,3.3219,492.36,3.4192,14.00,0.0972,478.36,3.3219,3.3219
0.1,145,100,3.3219,495.68,3.4185,14.00,0.0966,481.68,3.3219,3.3219
0.1,146,100,3.3219,499.00,3.4178,14.00,0.0959,485.00,3.3219,3.3219
0.1,147,100,3.3219,502.32,3.4172,14.00,0.0952,488.32,3.3219,3.3219
0.1,148,100,3.3219,505.65,3.4165,14.00,0.0946,491.65,3.3219,3.3219
0.1,149,100,3.3219,508.97,3.4159,14.00,0.0940,494.97,3.3219,3.3219
0.1,150,100,3.3219,512.29,3.4153,14.00,0.0933,498.29,3.3219,3.3219
0.1,151,100,3.3219,515.61,3.4146,14.00,0.0927,501.61,3.3219,3.3219
0.1,152,100,3.3219,518.93,3.4140,14.00,0.0921,504.93,3.3219,3.3219
0.1,153,100,3.3219,522.25,3.4134,14.00,0.0915,508.25,3.3219,3.3219
0.1,154,100,3.3219,525.58,3.4128,14.00,0.0909,511.58,3.3219,3.3219
0.1,155,100,3.3219,528.90,3.4123,14.00,0.0903,514.90,3.3219,3.3219
0.1,156,100,3.3219,532.22,3.4117,14.00,0.0897,518.22,3.3219,3.3219
0.1,157,100,3.3219,535.54,3.4111,14.00,0.0892,521.54,3.3219,3.3219
0.1,158,100,3.3219,538.86,3.4105,14.00,0.0886,524.86,3.3219,3.3219
0.1,159,100,3.3219,542.19,3.4100,14.00,0.0881,528.19,3.3219,3.3219
0.1,160,100,3.3219,545.51,3.4094,14.00,0.0875,531.51,3.3219,3.3219
0.1,161,100,3.3219,548.83,3.4089,14.00,0.0870,534.83,3.3219,3.3219
0.1,162,100,3.3219,552.15,3.4083,14.00,0.0864,538.15,3.3219,3.3219
0.1,163,100,3.3219,555.47,3.4078,14.00,0.0859,541.47,3.3219,3.3219
0.1,164,100,3.3219,558.80,3.4073,14.00,0.0854,544.80,3.3219,3.3219
0.1,165,100,3.3219,562.12,3.4068,14.00,0.0848,548.12,3.3219,3.3219
0.1,166,100,3.3219,565.44,3.4063,14.00,0.0843,551.44,3.3219,3.3219
0.1,167,100,3.3219,568.76,3.4058,14.00,0.0838,554.76,3.3219,3.3219
0.1,168,100,3.3219,572.08,3.4053,14.00,0.0833,558.08,3.3219,3.3219
0.1,169,100,3.3219,575.41,3.4048,14.00,0.0828,561.41,3.3219,3.3219
0.1,170,100,3.3219,578.73,3.4043,14.00,0.0824,564.73,3.3219,3.3219
0.1,171,100,3.3219,582.05,3.4038,14.00,0.0819,568.05,3.3219,3.3219
0.1,172,100,3.3219,585.37,3.4033,14.00,0.0814,571.37,3.3219,3.3219
0.1,173,100,3.3219,588.69,3.4029,14.00,0.0809,574.69,3.3219,3.3219
0.1,174,100,3.3219,592.02,3.4024,14.00,0.0805,578.02,3.3219,3.3219
0.1,175,100,3.3219,595.34,3.4019,14.00,0.0800,581.34,3.3219,3.3219
0.1,176,100,3.3219,598.66,3.4015,14.00,0.0795,584.66,3.3219,3.3219
0.1,177,100,3.3219,601.98,3.4010,14.00,0.0791,587.98,3.3219,3.3219
0.1,178,100,3.3219,605.30,3.4006,14.00,0.0787,591.30,3.3219,3.3219
0.1,179,100,3.3219,608.63,3.4001,14.00,0.0782,594.63,3.3219,3.3219
0.1,180,100,3.3219,611.95,3.3997,14.00,0.0778,597.95,3.3219,3.3219
0.1,181,100,3.3219,615.27,3.3993,14.00,0.0773,601.27,3.3219,3.3219
0.1,182,100,3.3219,618.59,3.3989,14.00,0.0769,604.59,3.3219,3.3219
0.1,183,100,3.3219,621.91,3.3984,14.00,0.0765,607.91,3.3219,3.3219
0.1,184,100,3.3219,625.23,3.3980,14.00,0.0761,611.23,3.3219,3.3219
0.1,185,100,3.3219,628.56,3.3976,14.00,0.0757,614.56,3.3219,3.3219
0.1,186,100,3.3219,631.88,3.3972,14.00,0.0753,617.88,3.3219,3.3219
0.1,187,100,3.3219,635.20,3.3968,14.00,0.0749,621.20,3.3219,3.3219
0.1,188,100,3.3219,638.52,3.3964,14.00,0.0745,624.52,3.3219,3.3219
0.1,189,100,3.3219,641.84,3.3960,14.00,0.0741,627.84,3.3219,3.3219
0.1,190,100,3.3219,645.17,3.3956,14.00,0.0737,631.17,3.3219,3.3219
0.1,191,100,3.3219,648.49,3.3952,14.00,0.0733,634.49,3.3219,3.3219
0.1,192,100,3.3219,651.81,3.3948,14.00,0.0729,637.81,3.3219,3.3219
0.1,193,100,3.3219,655.13,3.3945,14.00,0.0725,641.13,3.3219,3.3219
0.1,194,100,3.3219,658.45,3.3941,14.00,0.0722,644.45,3.3219,3.3219
0.1,195,100,3.3219,661.78,3.3937,14.00,0.0718,647.78,3.3219,3.3219
0.1,196,100,3.3219,665.10,3.3934,14.00,0.0714,651.10,3.3219,3.3219
0.1,197,100,3.3219,668.42,3.3930,14.00,0.0711,654.42,3.3219,3.3219
0.1,198,100,3.3219,671.74,3.3926,14.00,0.0707,657.74,3.3219,3.3219
0.1,199,100,3.3219,675.06,3.3923,14.00,0.0704,661.06,3.3219,3.3219
0.1,200,100,3.3219,678.39,3.3919,14.00,0.0700,664.39,3.3219,3.3219
